event_id,event_name,user_id,event_timestamp,received_timestamp,is_valid,is_deleted
72791349-5c37-4eef-9e83-dfb242a560cf,click,406,2025-08-12 08:46:59.697220 UTC,2025-08-12 08:47:01.841977 UTC,false,true
8f7b522e-f32c-4bcd-bb61-8590d464e813,click,833,2025-08-12 08:47:07.568134 UTC,2025-08-12 08:49:06.438508 UTC,false,true
ac78fa80-444d-467a-9bd3-d7ca1007f6b7,click,129,2025-08-12 08:47:12.765386 UTC,2025-08-12 08:52:00.123376 UTC,false,true
7e442b5e-df37-4789-b318-520778b26481,click,454,2025-08-12 08:51:51.770577 UTC,2025-08-12 08:52:06.355410 UTC,false,true
c9d8dd2a-f97f-42b1-a5db-8b2122417f18,click,508,2025-08-12 08:51:50.736079 UTC,2025-08-12 08:52:10.790578 UTC,false,true
ebeed1f3-181e-4bf0-965c-a37d32c0134b,click,756,2025-08-12 08:51:49.687160 UTC,2025-08-12 08:53:17.506349 UTC,false,true
964e3cf2-f7f9-4afd-8e50-99e8b0366b2d,click,435,2025-08-12 08:52:09.696568 UTC,2025-08-12 08:54:22.476637 UTC,false,true
eaf4bde9-a6a5-4453-ad45-ba01205707db,click,253,2025-08-12 08:52:18.440473 UTC,2025-08-12 08:55:08.102768 UTC,false,true
ac118b79-b2f0-415a-ba4c-6770a49ac2cd,click,902,2025-08-12 08:47:09.649226 UTC,2025-08-12 08:58:22.730032 UTC,false,true
ac118b79-b2f0-415a-ba4c-6770a49ac2cd,click,902,2025-08-12 08:47:09.649226 UTC,2025-08-12 08:58:26.910604 UTC,false,true
edacc90d-98a6-46c7-9ed3-77ede415b2d3,click,769,2025-08-12 08:47:10.686397 UTC,2025-08-12 08:59:13.698665 UTC,false,true
aada177d-356e-42f2-a084-11adc25fccff,click,339,2025-08-12 08:55:45.883827 UTC,2025-08-12 08:59:20.107869 UTC,false,true
883ffccc-ae64-450e-93e8-e004ef147060,click,218,2025-08-12 08:53:23.784111 UTC,2025-08-12 09:00:05.070113 UTC,false,true
43cc955d-d3e3-4f21-93d9-ba7356729f65,click,392,2025-08-12 08:57:25.922544 UTC,2025-08-12 09:00:46.058356 UTC,false,true
