event_id,event_name,user_id,event_timestamp,received_timestamp,is_valid
03141c12-7516-4f58-9113-fc2494c3a70f,click,945,2025-08-09 16:53:49.706559 UTC,2025-08-09 17:03:20.472902 UTC,false
3e1b2f78-4336-4a47-80fc-42259fd1c3c4,click,407,2025-08-09 16:57:54.983432 UTC,2025-08-09 17:03:02.217643 UTC,false
8b62200f-d26f-43eb-bb43-3373f7f1488c,click,501,2025-08-09 16:52:57.996224 UTC,2025-08-09 17:02:03.664402 UTC,false
8ac9432f-67f2-44fd-bc78-b25285c0263d,click,816,2025-08-09 16:51:06.194930 UTC,2025-08-09 17:01:53.489249 UTC,false
2ada0a89-fbbb-4b1c-9411-c9f131ab04f5,click,724,2025-08-09 16:50:54.762622 UTC,2025-08-09 17:01:46.781353 UTC,false
719d0c1a-009d-4940-b808-7310d2fa28f8,click,506,2025-08-09 16:54:49.415833 UTC,2025-08-09 17:00:47.621416 UTC,false
f2b82f14-49c6-4f44-893a-e363382e6e48,click,216,2025-08-09 16:50:58.932925 UTC,2025-08-09 16:57:00.304745 UTC,false
add1c235-1d85-44f9-b421-2a8bcfe08ed4,click,216,2025-08-09 16:52:03.680368 UTC,2025-08-09 16:56:54.774060 UTC,false
1adda76d-d3ec-4768-a097-39d58ef0099a,click,517,2025-08-09 16:53:04.229519 UTC,2025-08-09 16:56:47.697265 UTC,false
c0ff1664-77c1-4ec3-bdfa-11d80dbcf132,click,397,2025-08-09 16:53:48.670024 UTC,2025-08-09 16:54:54.635145 UTC,false
a284e3ff-90b7-4fc2-8f13-96acbfe310a8,click,792,2025-08-09 16:52:05.754732 UTC,2025-08-09 16:53:04.265414 UTC,false
420563f7-1e7a-4915-b3b8-7ec7852cba83,click,341,2025-08-09 16:49:21.761961 UTC,2025-08-09 16:50:49.020637 UTC,false
